"","total","pacotes","custo"
"1175",4470,894,3576
"1176",4860,972,3888
"1177",4490,898,3592
"1178",5280,1056,4224
"1179",4725,945,3780
"1180",4365,873,3492
"1181",5350,1070,4280
"1182",4645,929,3716
"1183",4010,802,3208
"1184",4545,909,3636
"1185",5680,1136,4544
"1186",4900,980,3920
"1187",5840,1168,4672
"1188",5410,1082,4328
"1189",4740,948,3792
"1190",6590,1318,5272
"1191",4150,830,3320
"1192",3950,790,3160
"1193",5625,1125,4500
"1194",3625,725,2900
"1195",3575,715,2860
"1196",5420,1084,4336
"1197",3990,798,3192
"1198",4455,891,3564
"1199",4480,896,3584
"1200",3895,779,3116
"1201",5335,1067,4268
"1202",4375,875,3500
"1203",6095,1219,4876
"1204",4470,894,3576
"1205",5025,1005,4020
"1206",3590,718,2872
"1207",5595,1119,4476
"1208",3365,673,2692
"1209",5310,1062,4248
"1210",5120,1024,4096
"1211",4165,833,3332
"1212",4525,905,3620
"1213",4535,907,3628
